"Estado";"Regiao";"2010";"2011";"2012";"2013"
"Rondônia";"Norte";15322,00;17495,77;18923,75;17990,69
"Acre";"Norte";11385,25;11998,09;13346,94;14733,50
"Amazonas";"Norte";17490,23;19990,87;20109,91;21873,65
"Roraima";"Norte";14714,41;15880,55;16427,50;18495,80
"Pará";"Norte";10875,78;12842,35;13707,82;15176,18
"Amapá";"Norte";12320,68;13759,23;15935,25;17363,82
"Tocantins";"Norte";11858,96;13102,78;14583,94;16086,37
"Maranhão";"Nordeste";7049,63;7850,58;9005,51;9948,47
"Piauí";"Nordeste";7140,47;8263,02;9056,89;9811,04
"Ceará";"Nordeste";9390,62;10510,94;11249,65;12393,39
"Rio Grande do Norte";"Nordeste";11421,48;12818,51;14368,62;15247,87
"Paraíba";"Nordeste";8899,93;9790,27;11132,89;11834,54
"Pernambuco";"Nordeste";11049,07;12423,82;14308,99;15282,28
"Alagoas";"Nordeste";8694,50;10073,12;10940,19;11276,59
"Sergipe";"Nordeste";12769,04;13930,30;15537,41;16028,28
"Bahia";"Nordeste";11012,34;11817,76;12858,32;13577,74
"Minas Gerais";"Sudeste";17919,28;20277,55;22244,00;23646,21
"Espírito Santo";"Sudeste";24287,06;29873,39;32623,25;30484,96
"Rio de Janeiro";"Sudeste";28127,45;31800,33;35354,38;38262,13
"São Paulo";"Sudeste";31383,79;34499,90;37105,08;39122,26
"Paraná";"Sul";21572,72;24444,97;26962,78;30264,90
"Santa Catarina";"Sul";24598,11;27551,89;30021,49;32289,58
"Rio Grande do Sul";"Sul";22556,67;24687,22;26651,76;29657,28
"Mato Grosso do Sul";"Centro-Oeste";19300,48;22253,23;24738,69;26714,57
"Mato Grosso";"Centro-Oeste";18657,31;22484,64;25550,79;28007,75
"Goiás";"Centro-Oeste";17783,32;19939,47;22509,40;23470,48
"Distrito Federal";"Centro-Oeste";56250,67;59183,31;61876,08;62859,43
