Q_1	Q_2	Q_3	Q_4	Q_5	Q_6	Q_7	Q_8	Q_9	Q_10	Q_11	Q_12
1	22	f	8,5	n	n	2	1	4	40	c	b
2	43	m	5,24	s	s	1	1	7	0	b	d
3	19	f	8,6	n	n	1	1	30	8	c	d
4	18	f	8,9	n	n	2	2	12	1	c	e
5	22	f	8,86	n	n	2	2	5	10	b	c
6	24	f	9,58	s	n	2	2	10	1	b	c
7	22	m	8,55	s	n	1	1	4	12	d	c
8	22	m	8,4	n	n	1	1	12	10	d	d
9	20	m	7,83	n	n	1	1	14	5	b	d
10	22	m	7,8	n	n	2	2	5	5	d	c
11	26	f	7,26	n	n	1	1	2	11	c	d
12	28	m	7,2	n	n	1	1	3	6	c	b
13	26	f	5	n	n	2	2	4	2	a	c
14	25	f	NA	n	n	1	2	4,5	5	b	e
15	23	m	6	n	n	1	1	35	2	c	d
16	20	f	8,97	n	n	2	1	18	5	e	c
17	30	m	9,38	s	n	2	2	12	2	a	b
18	19	f	9,28	n	n	2	1	20	NA	d	c
19	19	f	9,22	n	n	1	1	28	2	a	a
20	20	m	NA	n	n	1	1	3	NA	c	b
21	21	m	8,86	s	n	1	1	2	1	b	d
22	19	m	7,6	n	n	1	2	22,3	0	d	c
23	19	f	7,47	n	n	1	1	35	0	e	c
