nq idade sexo cre trabalha filhos em ef horas n_livros biblio inglesa indice
1 1 22 f 8.5 n n 2 1 4 40 c b 2.125
2 2 43 m 5.24 s s 1 1 7 0 b d 0.748571428571429
3 3 19 f 8.6 n n 1 1 30 8 c d 0.286666666666667
4 4 18 f 8.9 n n 2 2 12 1 c e 0.741666666666667
5 5 22 f 8.86 n n 2 2 5 10 b c 1.772
6 6 24 f 9.58 s n 2 2 10 1 b c 0.958
7 7 22 m 8.55 s n 1 1 4 12 d c 2.1375
8 8 22 m 8.4 n n 1 1 12 10 d d 0.7
9 9 20 m 7.83 n n 1 1 14 5 b d 0.559285714285714
10 10 22 m 7.8 n n 2 2 5 5 d c 1.56
11 11 26 f 7.26 n n 1 1 2 11 c d 3.63
12 12 28 m 7.2 n n 1 1 3 6 c b 2.4
13 13 26 f 5 n n 2 2 4 2 a c 1.25
14 14 25 f NA n n 1 2 4.5 5 b e NA
15 15 23 m 6 n n 1 1 35 2 c d 0.171428571428571
16 16 20 f 8.97 n n 2 1 18 5 e c 0.498333333333333
17 17 30 m 9.38 s n 2 2 12 2 a b 0.781666666666667
18 18 19 f 9.28 n n 2 1 20 NA d c 0.464
19 19 19 f 9.22 n n 1 1 28 2 a a 0.329285714285714
20 20 20 m NA n n 1 1 3 NA c b NA
21 21 21 m 8.86 s n 1 1 2 1 b d 4.43
22 22 19 m 7.6 n n 1 2 22.3 0 d c 0.340807174887892
23 23 19 f 7.47 n n 1 1 35 0 e c 0.213428571428571
24 24 31 m 7.77 s n 2 2 12 2 c b 0.6475
