nq idade sexo cre trabalha filhos em ef horas n_livros biblio inglesa indice tabalha
1 1 22 NA 8.5 Não NA NA 1 4 40 c b 2.125 Não
2 2 43 NA 5.24 Sim NA NA 1 7 0 b d 0.748571428571429 Sim
3 3 19 NA 8.6 Não NA NA 1 30 8 c d 0.286666666666667 Não
4 4 18 NA 8.9 Não NA NA 2 12 1 c e 0.741666666666667 Não
5 5 22 NA 8.86 Não NA NA 2 5 10 b c 1.772 Não
6 6 24 NA 9.58 Sim NA NA 2 10 1 b c 0.958 Sim
7 7 22 NA 8.55 Sim NA NA 1 4 12 d c 2.1375 Sim
8 8 22 NA 8.4 Não NA NA 1 12 10 d d 0.7 Não
9 9 20 NA 7.83 Não NA NA 1 14 5 b d 0.559285714285714 Não
10 10 22 NA 7.8 Não NA NA 2 5 5 d c 1.56 Não
11 11 26 NA 7.26 Não NA NA 1 2 11 c d 3.63 Não
12 12 28 NA 7.2 Não NA NA 1 3 6 c b 2.4 Não
13 13 26 NA 5 Não NA NA 2 4 2 a c 1.25 Não
14 14 25 NA NA Não NA NA 2 4.5 5 b e NA Não
15 15 23 NA 6 Não NA NA 1 35 2 c d 0.171428571428571 Não
16 16 20 NA 8.97 Não NA NA 1 18 5 e c 0.498333333333333 Não
17 17 30 NA 9.38 Sim NA NA 2 12 2 a b 0.781666666666667 Sim
18 18 19 NA 9.28 Não NA NA 1 20 NA d c 0.464 Não
19 19 19 NA 9.22 Não NA NA 1 28 2 a a 0.329285714285714 Não
20 20 20 NA NA Não NA NA 1 3 NA c b NA Não
21 21 21 NA 8.86 Sim NA NA 1 2 1 b d 4.43 Sim
22 22 19 NA 7.6 Não NA NA 2 22.3 0 d c 0.340807174887892 Não
23 23 19 NA 7.47 Não NA NA 1 35 0 e c 0.213428571428571 Não
24 24 31 NA 7.77 Sim NA NA 2 12 2 c b 0.6475 Sim
