"","País","Ano","Sexo","Idade","Suicidios","População","Suicidios por 100 mil habitantes","IDH","PIB per capita"
"1","Albania",1987,"Masculino","15 à 24 anos",21,312900,6.71,NA,796
"2","Albania",1987,"Masculino","35 à 54 anos",16,308000,5.19,NA,796
"3","Albania",1987,"Feminino","15 à 24 anos",14,289700,4.83,NA,796
"4","Albania",1987,"Masculino","75 anos ou mais",1,21800,4.59,NA,796
"5","Albania",1987,"Masculino","25 à 34 anos",9,274300,3.28,NA,796
"6","Albania",1987,"Feminino","75 anos ou mais",1,35600,2.81,NA,796
"7","Albania",1987,"Feminino","35 à 54 anos",6,278800,2.15,NA,796
"8","Albania",1987,"Feminino","25 à 34 anos",4,257200,1.56,NA,796
"9","Albania",1987,"Masculino","55 à 74 anos",1,137500,0.73,NA,796
"10","Albania",1987,"Feminino","5 à 14 anos",0,311000,0,NA,796
"11","Albania",1987,"Feminino","55 à 74 anos",0,144600,0,NA,796
"12","Albania",1987,"Masculino","5 à 14 anos",0,338200,0,NA,796
"13","Albania",1988,"Feminino","75 anos ou mais",2,36400,5.49,NA,769
"14","Albania",1988,"Masculino","15 à 24 anos",17,319200,5.33,NA,769
"15","Albania",1988,"Masculino","75 anos ou mais",1,22300,4.48,NA,769
"16","Albania",1988,"Masculino","35 à 54 anos",14,314100,4.46,NA,769
"17","Albania",1988,"Masculino","55 à 74 anos",4,140200,2.85,NA,769
"18","Albania",1988,"Feminino","15 à 24 anos",8,295600,2.71,NA,769
"19","Albania",1988,"Feminino","55 à 74 anos",3,147500,2.03,NA,769
"20","Albania",1988,"Feminino","25 à 34 anos",5,262400,1.91,NA,769
"21","Albania",1988,"Masculino","25 à 34 anos",5,279900,1.79,NA,769
"22","Albania",1988,"Feminino","35 à 54 anos",4,284500,1.41,NA,769
"23","Albania",1988,"Feminino","5 à 14 anos",0,317200,0,NA,769
"24","Albania",1988,"Masculino","5 à 14 anos",0,345000,0,NA,769
"25","Albania",1989,"Masculino","75 anos ou mais",2,22500,8.89,NA,833
"26","Albania",1989,"Masculino","25 à 34 anos",18,283600,6.35,NA,833
"27","Albania",1989,"Masculino","35 à 54 anos",15,318400,4.71,NA,833
"28","Albania",1989,"Masculino","55 à 74 anos",6,142100,4.22,NA,833
"29","Albania",1989,"Masculino","15 à 24 anos",12,323500,3.71,NA,833
"30","Albania",1989,"Feminino","35 à 54 anos",7,288600,2.43,NA,833
"31","Albania",1989,"Feminino","15 à 24 anos",5,299900,1.67,NA,833
