property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Multifamily Housing,1,22,627680,4871.7,7.8,16397682.8,43537490.6,95.5,146,100.3,150.7
Office,2,49,555524,4581.4,8.2,28606427.7,2199940.1,55.5,148.3,56.7,151.8
Office,3,61,130007,1092.1,8.4,6489281.3,1493523.2,61.4,151.8,63,154.8
Multifamily Housing,4,100,83000,295.8,3.6,1614582.3,825006.6,29.4,64.9,29.6,64.3
Medical Office,2.5,59,98018,775,11.6,4204723.5,2236782.3,96.7,211.9,98,212.8
Multifamily Housing,3.5,75,311326,1617.4,6.2,4993793,15777294.8,80.1,117.8,82.9,120.3
Multifamily Housing,3.5,58,199600,1155.2,7.1,5821462.7,4643106.7,64.7,131,68.7,139.8
Senior Living Community,1,7,77004,1184.6,17.7,3786934.1,11175808,223.3,333.4,238,347.3
Multifamily Housing,2.5,51,53800,768.3,6.9,2985049.6,5693982,78.2,129.2,81.2,133.1
K-12 School,4,61,93200,504.4,5.4,1246831.5,5832379.9,76,103.2,86.5,114.3
Mixed Use Property,1,20,1975361,15478.5,10.2,64410587.3,102156516.4,110.2,190.3,111.5,191.4
Multifamily Housing,4,81,112734,579.5,5.3,2292017.8,4175204.4,59.4,99.2,59.8,100.2
Multifamily Housing,4,75,50986,237.5,4.7,417741.4,3243596.1,71.8,89.7,76.5,94.7
K-12 School,2.5,32,150436,1114,7.4,4506708.5,7731610.1,81.4,137.8,88,144.8
Multifamily Housing,3,47,56880,347.8,6.1,652896.4,4629361.5,92.9,117.6,103.1,127.7
Multifamily Housing,3,67,155144,780.6,5.9,2550176.6,7203545.7,73.6,111,77.6,115.2
Office,4,79,464498,2705.3,5.8,13045901.7,12600101.5,55.2,107.1,57.7,109.8
Multifamily Housing,1,21,289267,2469,8.5,4709257.4,32647070.7,129.1,164.1,137.5,172.9
Multifamily Housing,3.5,60,1343820,7151.1,6.4,32621765.2,38781158.3,64.3,118.9,65.2,117.8
Multifamily Housing,2,50,159968,897.2,6.8,3595190,6327708.9,75.4,126.9,77.9,130.5
