data,icms
1993.01,32.845
1993.02,23.116
1993.03,35.908
1993.04,55.581
1993.05,58.886
1993.06,84.125
1993.07,106.906
1993.08,161.067
1993.09,169.248
1993.10,222.748
1993.11,330.973
1993.12,505.431
1994.01,294
1994.02,287
1994.03,471
1994.04,553
1994.05,962
1994.06,2107
1994.07,1878
1994.08,2043
1994.09,3061
1994.10,2414
1994.11,2806
1994.12,2470
1995.01,3087
1995.02,2371
1995.03,2808
1995.04,2704
1995.05,3018
1995.06,3997
1995.07,4384
1995.08,4576
1995.09,4652
1995.10,4050
1995.11,4239
1995.12,3861
1996.01,4422
1996.02,4177
1996.03,3594
1996.04,3791
1996.05,4091
1996.06,4968
1996.07,4124
1996.08,5012
1996.09,4544
1996.10,3708
1996.11,5413
1996.12,4294
1997.01,6236
1997.02,4390
1997.03,3855
1997.04,4210
1997.05,3995
1997.06,4239
1997.07,4080
1997.08,4054
1997.09,4213
1997.10,5361
1997.11,4932
1997.12,5295
1998.01,5527
1998.02,5128
1998.03,5093
1998.04,5303
1998.05,5911
1998.06,5748
1998.07,5603
1998.08,5487
1998.09,5244
1998.10,5143
1998.11,6129
1998.12,4769
1999.01,5403
1999.02,4833
1999.03,3592
1999.04,5322
1999.05,5124
1999.06,5852
1999.07,6021
1999.08,5876
1999.09,5706
1999.10,7156
1999.11,6953
1999.12,6989
2000.01,8163
2000.02,6836
2000.03,7213
2000.04,7897
2000.05,8561
2000.06,8096
2000.07,8861
2000.08,8251
2000.09,9835
2000.10,9017
2000.11,9635
2000.12,9539
2001.01,9059
2001.02,8537
2001.03,8885
2001.04,9956
2001.05,9369
2001.06,10024
2001.07,9649
2001.08,10255
2001.09,10836
2001.10,11057
2001.11,10307
2001.12,10468
2002.01,14288
2002.02,10978
2002.03,8265
2002.04,10697
2002.05,10183
2002.06,10786
2002.07,10397
2002.08,11944
2002.09,11201
2002.10,14348
2002.11,11299
2002.12,14119
2003.01,12659
2003.02,10290
2003.03,10504
2003.04,11754
2003.05,11850
2003.06,11264
2003.07,12055
2003.08,12359
2003.09,13436
2003.10,12991
2003.11,13184
2003.12,15112
2004.01,17197
2004.02,12706
2004.03,14420
2004.04,13198
2004.05,10838
2004.06,19155
2004.07,13285
2004.08,22758
2004.09,14738
2004.10,15504
2004.11,15839
2004.12,14776
2005.01,17237
2005.02,17875
2005.03,17632
2005.04,16171
2005.05,18005
2005.06,18926
2005.07,21929
2005.08,21080
2005.09,24074
2005.10,21754
2005.11,22918
2005.12,22921
2006.01,33975
2006.02,21502
2006.03,21102
2006.04,21526
2006.05,21319
2006.06,20318
2006.07,20574
2006.08,20847
2006.09,28761
2006.10,25144
2006.11,24611
2006.12,28184
2007.01,29706
2007.02,25985
2007.03,22737
2007.04,22990
2007.05,22832
2007.06,25287
2007.07,22950
2007.08,29388
2007.09,26734
2007.10,28096
2007.11,30110
2007.12,26618
2008.01,29972
2008.02,26895
2008.03,24033
2008.04,26956
2008.05,26806
2008.06,25963
2008.07,28099
2008.08,26650
2008.09,34428
2008.10,32697
2008.11,34201
2008.12,36441
2009.01,37665
2009.02,28112
2009.03,31205
2009.04,31081
2009.05,33846
2009.06,29741
2009.07,33901
2009.08,34726
2009.09,35801
2009.10,35094
2009.11,41452
2009.12,45280
2010.01,40688
2010.02,30956
2010.03,63624
2010.04,38404
2010.05,35364
2010.06,38637
2010.07,33703
2010.08,38849
2010.09,41090
2010.10,40461
2010.11,43435
2010.12,42165
2011.01,42547
2011.02,37409
2011.03,34828
2011.04,36879
2011.05,34929
2011.06,41357
2011.07,37583
2011.08,45118
2011.09,46570
2011.10,49893
2011.11,52599
2011.12,50894
2012.01,59212
2012.02,48789
2012.03,50932
2012.04,51794
2012.05,49187
2012.06,61317
2012.07,64169
2012.08,59834
2012.09,59421
2012.10,63412
2012.11,61942
2012.12,65961
2013.01,64124
2013.02,57202
2013.03,51636
2013.04,59087
2013.05,64680
2013.06,56944
2013.07,65773
2013.08,64707
2013.09,66103
2013.10,88287
2013.11,79607
2013.12,73793
2014.01,77089
2014.02,72255
2014.03,59145.4645
2014.04,64762.72462
2014.05,68148.91327
2014.06,69058.99798
2014.07,70843.92211
2014.08,70742.81187
2014.09,71079.41093
2014.10,73961.03315
2014.11,75100.33825
2014.12,79059.40859
2015.01,80712.66737
2015.02,67458.75019
2015.03,64080.86893
2015.04,62265.94934
2015.05,58574.17249
2015.06,58739.54808
2015.07,59223.13422
2015.08,61921.632
2015.09,71223.9681
2015.10,64065.20731
2015.11,68093.39122
2015.12,61140.90695
2016.01,68624.85103
2016.02,44841.78914
2016.03,51880.75878
2016.04,60933.3953
2016.05,53497.96201
2016.06,55227.21098
2016.07,55690.55451
2016.08,60035.02245
2016.09,59421.47501
2016.10,58652.37803
2016.11,63563.3661
2016.12,58910.06805
2017.01,65354.28291
2017.02,46253.75488
2017.03,54049.73043
2017.04,70347.30108
2017.05,66312.22411
2017.06,60730.70734
2017.07,71669.52636
2017.08,53839.51473
2017.09,65052.73972
2017.10,60717.89803
2017.11,66170.53301
2017.12,66076.14026
2018.01,68709.39828
2018.02,61905.9814
2018.03,70626.28857
2018.04,62501.21632
2018.05,69888.41698
2018.06,67113.77744
2018.07,68909.8585
2018.08,73813.77454
2018.09,69331.74602
2018.10,86347.29985
2018.11,77028.47954
2018.12,78950.9265
2019.01,76277.103
2019.02,66650.23502
2019.03,67635.89902
2019.04,78933.02667
2019.05,68659.42547
2019.06,73093.85184
2019.07,70626.28857
2019.08,62501.21632
2019.09,83191.52389
2019.10,87652.05095
2019.11,97473.04573
2019.12,92478.23829
2020.01,86031.09475
2020.02,83596.26751
2020.03,70683.69114
2020.04,70883.28128
2020.05,52290.47102
2020.06,56856.4725
2020.07,72384.0269
2020.08,100075.9897
2020.09,106409.01877
2020.10,98149.74646
2020.11,112603.87022
2020.12,104922.28767
2021.01,105878.20371
2021.02,98577.94234
2021.03,87801.09716
2021.04,94846.17117
2021.05,92305.13522
2021.06,111637.20788
2021.07,108379.52128
2021.08,106456.79377
2021.09,118991.90004
2021.10,118059.45562
2021.11,126633.01199
2021.12,110649.1046
2022.01,130687.88487
2022.02,93688.20057
2022.03,103837.85653
2022.04,104466.54847
2022.05,113756.98855
2022.06,112965.4245
2022.07,121082.78281
2022.08,114132.95692
2022.09,115098.75025
2022.10,114418.71626
2022.11,114626.90268
2022.12,114350.63005
2023.01,99613.18
2023.02,91914.9
2023.03,374884.63
2023.04,83749.29
2023.05,100648.15
2023.06,106513.88
2023.07,116264.97
2023.08,122060.63
2023.09,87296.94
2023.10,67667.52
2023.11,57491.83
2023.12,58407.46
