date,air_temperature,humidity,rain_interval,pressure,solar,wet_bulb_temperature,rain_intensity,rain_total,rain_type,wind_direction,wind_speed
2019-07-31T09:00:00Z,20.8,59,0,1001,485,15.7,0,153.5,0,91,4.6
2019-07-31T10:00:00Z,20.7,64,0,1001.4,633,16.2,0,153.5,0,94,4
2019-07-31T11:00:00Z,20.9,61,0,1001.7,752,16.1,0,153.5,0,85,3.7
2019-07-31T12:00:00Z,21.1,56,0,1001.6,821,15.5,0,153.5,0,82,4
2019-07-31T13:00:00Z,21.3,56,0,1001.4,848,15.7,0,153.5,0,82,3.7
2019-07-31T14:00:00Z,21,63,0,1001.5,820,16.5,0,153.5,0,79,3.3
2020-05-31T06:00:00Z,12.3,65,0,1006.3,78,8.9,0,13.4,0,78,3.9
2020-05-31T09:00:00Z,12.3,57,0,1007.8,570,8.1,0,13.4,0,98,2
2020-05-31T11:00:00Z,12.2,53,0,1007.8,816,7.7,0,13.4,0,106,1.4
2020-05-31T12:00:00Z,12.4,55,0,1007.5,874,8,0,13.4,0,102,1.2
2020-05-31T14:00:00Z,12.4,53,0,1006.6,863,7.9,0,13.4,0,80,2
2020-05-31T16:00:00Z,13,57,0,1005.5,662,8.7,0,13.4,0,108,1.6
2020-05-31T19:00:00Z,13.9,59,0,1004.1,23,9.8,0,13.4,0,118,1.8
2020-05-31T20:00:00Z,14.3,58,0,1004.1,8,10,0,13.4,0,111,1.4
2020-05-31T21:00:00Z,14.9,57,0,1003.8,0,10.4,0,13.4,0,98,0.9
2020-05-31T23:00:00Z,16.1,48,0,1003.5,0,10.4,0,13.4,0,114,1.3
2020-06-01T00:00:00Z,16.2,53,0,1003.6,0,11,0,13.4,0,115,0.9
2020-06-01T02:00:00Z,16.4,44,0,1003.8,0,10,0,13.4,0,72,1
2020-06-01T03:00:00Z,16.4,40,0,1003.8,0,9.6,0,13.4,0,102,0.5
2020-06-01T04:00:00Z,16.8,36,0,1003.6,0,9.3,0,13.4,0,318,1.1
2019-07-31T15:00:00Z,21.4,65,0,1001.4,745,17,0,153.5,0,66,3.5
2019-07-31T16:00:00Z,21.5,65,0,1001.1,624,17.1,0,153.5,0,79,3.3
2019-07-31T17:00:00Z,20.9,67,0,1000.4,43,16.8,0,153.5,0,90,3.9
2019-07-31T19:00:00Z,21.4,57,0,1000,147,15.9,0,153.5,0,80,2.9
2019-07-31T20:00:00Z,21.6,53,0,999.8,6,15.5,0,153.5,0,61,3.2
